Vértices;Inicio;Busca;Tipo;Threads;Tempo(ms)
500;45;3586;Serial;1;4712,59
500;45;3586;Serial;1;4714,13
500;45;3586;Serial;1;4716,53
500;45;3586;Serial;1;4719,24
500;45;3586;Serial;1;4723,35
500;45;3586;Serial;1;4719,59
500;45;3586;Serial;1;4720,63
500;45;3586;Serial;1;4737,69
500;45;3586;Serial;1;4805,17
500;45;3586;Serial;1;4776,99
500;45;3586;Concorrente;1;4866,49
500;45;3586;Concorrente;1;4871,56
500;45;3586;Concorrente;1;4840,96
500;45;3586;Concorrente;1;4932,48
500;45;3586;Concorrente;1;5203,18
500;45;3586;Concorrente;1;5240,82
500;45;3586;Concorrente;1;4835,08
500;45;3586;Concorrente;1;4911,79
500;45;3586;Concorrente;1;4892,52
500;45;3586;Concorrente;1;4911,81
500;45;3586;Concorrente;2;4187,52
500;45;3586;Concorrente;2;4186,88
500;45;3586;Concorrente;2;4193,73
500;45;3586;Concorrente;2;4185,34
500;45;3586;Concorrente;2;4198,32
500;45;3586;Concorrente;2;4177,03
500;45;3586;Concorrente;2;4167,89
500;45;3586;Concorrente;2;4190,6
500;45;3586;Concorrente;2;4080,99
500;45;3586;Concorrente;2;4066,52
500;45;3586;Concorrente;4;2316,5
500;45;3586;Concorrente;4;2349,23
500;45;3586;Concorrente;4;2398,47
500;45;3586;Concorrente;4;2371,09
500;45;3586;Concorrente;4;2389,29
500;45;3586;Concorrente;4;2380,23
500;45;3586;Concorrente;4;2381,28
500;45;3586;Concorrente;4;2366,14
500;45;3586;Concorrente;4;2372,29
500;45;3586;Concorrente;4;2369,6
500;45;3586;Concorrente;8;1209,28
500;45;3586;Concorrente;8;1223,47
500;45;3586;Concorrente;8;1217,77
500;45;3586;Concorrente;8;1227,95
500;45;3586;Concorrente;8;1208,42
500;45;3586;Concorrente;8;1216,16
500;45;3586;Concorrente;8;1219,69
500;45;3586;Concorrente;8;1218,82
500;45;3586;Concorrente;8;1213,63
500;45;3586;Concorrente;8;1225,03
500;45;3586;Concorrente;12;1010,7
500;45;3586;Concorrente;12;985,084
500;45;3586;Concorrente;12;1002,68
500;45;3586;Concorrente;12;993,283
500;45;3586;Concorrente;12;1002,47
500;45;3586;Concorrente;12;992,142
500;45;3586;Concorrente;12;992,429
500;45;3586;Concorrente;12;951,663
500;45;3586;Concorrente;12;1047,88
500;45;3586;Concorrente;12;1031,43
500;45;3586;Concorrente;16;932,283
500;45;3586;Concorrente;16;974,194
500;45;3586;Concorrente;16;892,234
500;45;3586;Concorrente;16;951,381
500;45;3586;Concorrente;16;927,962
500;45;3586;Concorrente;16;889,049
500;45;3586;Concorrente;16;925,495
500;45;3586;Concorrente;16;967,262
500;45;3586;Concorrente;16;962,388
500;45;3586;Concorrente;16;980,475
500;45;3586;Concorrente;24;964,977
500;45;3586;Concorrente;24;971,143
500;45;3586;Concorrente;24;955,231
500;45;3586;Concorrente;24;952,634
500;45;3586;Concorrente;24;955,258
500;45;3586;Concorrente;24;959,63
500;45;3586;Concorrente;24;960,262
500;45;3586;Concorrente;24;956,101
500;45;3586;Concorrente;24;946,972
500;45;3586;Concorrente;24;956,873
500;45;3586;Concorrente;32;915,357
500;45;3586;Concorrente;32;996,369
500;45;3586;Concorrente;32;909,672
500;45;3586;Concorrente;32;913,496
500;45;3586;Concorrente;32;915,762
500;45;3586;Concorrente;32;930,194
500;45;3586;Concorrente;32;915,368
500;45;3586;Concorrente;32;891,816
500;45;3586;Concorrente;32;900,658
500;45;3586;Concorrente;32;920,255
